address,namespace,category,blockchain
0x963c94e660acc8fb3d4314b95003450426b903da,2p2.org,others,ethereum
0x1a8c730c2ad5faab9fe0d7ee5bfd750e044a111d,instadapp,defi_aggr,ethereum
0x9ca173d2e4b4246b8cc9d7ee331678e638c386b4,TBD,TBD,TBD
0xb3d8cca14f249cf68e5272c1e7623bfecc705591,instadapp,defi_aggr,ethereum
0x9b10a954b7a14ae7e12e472036e545f8576b7531,TBD,TBD,TBD
0x47e1a7079ca2c1056536c60fd1d4f19638e712db,TBD,TBD,TBD
0x2756bb9746af8355f85394c5d034897ba2635e0c,instadapp,defi_aggr,ethereum
0x9a443ef0eeae228aaaef0df8b96ead1154bcc9c0,instadapp,defi_aggr,ethereum
0xab4c505e70b9abed3527911b42d72611a604abb5,gnosis_safe,multisig,ethereum
0x46e4f1ec613faa131722fe26234b892f0a7e81fc,proxy_multisig,multisig,ethereum
0x0cd420966fce68bad79cd82c9a360636cf898c1e,instadapp,defi_aggr,ethereum
0x74b8c7680502931c33d9446e26592b8318eb7248,instadapp,defi_aggr,ethereum
0xd19e46692b687ff54c941cd0e0e2883259c7e01e,0xnox.eth,others,ethereum
0x789268fa8b0704aff44ace685703ad81759030b3,gnosis_safe,multisig,ethereum
0xd04d6040caaae35fcb30ffa91f9d89751e078c4f,instadapp,defi_aggr,ethereum
0xa45420a6f2bb98406b6c6a5cc1670b7c92407e2b,instadapp,defi_aggr,ethereum
0x79c0230b1772ac789cb443e1a23cd725b31bad42,gnosis_safe,multisig,ethereum
0x10124bda2119db4802905a889c0d46a0c4af26ea,gnosis_safe,multisig,ethereum
0x10124bda2119db4802905a889c0d46a0c4af26ea,gnosis_safe,multisig,ethereum
0x72146a3ead3a256e8a2189e3cedc0b7bd61991ed,TBD,TBD,TBD
0x94269a09c5fcbd5e88f9df13741997bc11735a9c,instadapp,defi_aggr,ethereum
0x64a53b849072a4d778cec579396e279f299b0bec,cian,strategy,ethereum
0xef001a0d62d43ccab7ac9c461f538e707a9edbf2,instadapp,defi_aggr,ethereum
0x7c07f7abe10ce8e33dc6c5ad68fe033085256a84,index_protocol,yield,ethereum
0xa976ea51b9ba3232706af125a92e32788dc08ddc,proxy,multisig,ethereum
0x777777c9898d384f785ee44acfe945efdff5f3e0,morpho_aave_v2,yield,ethereum
0x0d152ff760c1eae784972b31f01bcd92f5818f5c,compound,lending,ethereum
0x9e7234576a395a6b043fe994724f3ea0d48f5524,gnosis_safe,multisig,ethereum
0x74b3691ebc3fb083e36065a1986d6c490b13e95a,instadapp,defi_aggr,ethereum
0x74b3691ebc3fb083e36065a1986d6c490b13e95a,instadapp,defi_aggr,ethereum
0xd732837b561a40d28ea74970558bc73cc9c13e0c,TBD,TBD,TBD
0x6451878ebd7dd53250c800bba2edfe6941e81d29,instadapp,defi_aggr,ethereum
0x6967c9a1a6e7057cefb79cbb5bc23b234ae6cf3a,unknown3,others,ethereum
0x9b33dd59fa401374f9213d591d0319a9d7e9d2cb,gnosis_safe,multisig,ethereum
0xe6253ef9b67f6ecd0202ad1f90f25a13282932ff,others,others,ethereum
0xf48aeffdb19be3753c3185088c869a95db5a3edc,unknown4,others,ethereum
0xd9134681c2c1b77c0422a7969f6a6ff95a4552a7,others,others,ethereum
0x5602d3237af32e50b10b7228335cc2e27c4c120f,gnosis_safe,multisig,ethereum
0x310a2c115d3d45a89b59640fff859be0f54a08e2,TBD,TBD,TBD
0xc38d57e5e4e74ea1cb8b6cd93791ddd5493affe5,TBD,TBD,TBD
0xadcefc0a2b2b480adff7f9ec11443792c31ebb29,TBD,TBD,TBD
0xc4f1e164713aed18546fdde94c04712de3bce690,unknown7,others,ethereum
